year,code,value
2012,5007,3070818
2012,5111,10455355
2012,5112,11674264
2012,5113,7852
2012,5208,1447049838
2012,5209,1067052824
2012,5210,115234988
2012,5211,94333973
2012,5309,8699908
2012,5310,21769
2012,5311,731330
2012,5407,319766649
2012,5408,10494625
2013,5007,3803415
2013,5111,3917609
2013,5112,10411258
2013,5113,1810
2013,5208,1484268712
2013,5209,1138170907
2013,5210,142215119
2013,5211,121356402
2013,5309,8453511
2013,5310,185
2013,5311,271371
2013,5407,339285626
2013,5408,11118905
2015,5007,3634425
2015,5111,2092374
2015,5112,10607796
2015,5113,57882
2015,5208,1762426535
2015,5209,1471226465
2015,5210,219554994
2015,5211,259083007
2015,5309,34123220
2015,5310,133835
2015,5311,872558
2015,5407,536030706
2015,5408,26942934
2008,5007,3788409
2008,5111,9636521
2008,5112,6920616
2008,5113,59796
2008,5208,780396810
2008,5209,594243822
2008,5210,58042597
2008,5211,70371653
2008,5309,442497
2008,5310,313132
2008,5311,402988
2008,5407,218659618
2008,5408,4523129
2009,5007,3256160
2009,5111,9877136
2009,5112,13693746
2009,5113,11118
2009,5208,680850755
2009,5209,575688149
2009,5210,40735655
2009,5211,47584435
2009,5309,2343616
2009,5310,20045
2009,5311,155257
2009,5407,198241029
2009,5408,8023427
2010,5007,4965646
2010,5111,11420168
2010,5112,5696313
2010,5113,68587
2010,5208,957540185
2010,5209,740899318
2010,5210,58216176
2010,5211,64805060
2010,5309,3463878
2010,5310,104
2010,5311,693619
2010,5407,246537167
2010,5408,10272912
2011,5007,4232022
2011,5111,15965814
2011,5112,14639925
2011,5113,9057
2011,5208,1486462924
2011,5209,1131788263
2011,5210,90226924
2011,5211,100799144
2011,5309,8478449
2011,5310,39757
2011,5311,413425
2011,5407,326508335
2011,5408,14981056
2002,5007,37222
2002,5111,1810908
2002,5112,873195
2002,5113,216549
2002,5208,125177977
2002,5209,131341272
2002,5210,5351221
2002,5211,13614824
2002,5309,696074
2002,5310,1734546
2002,5311,262106
2002,5407,135003849
2002,5408,5663106
2003,5007,122045
2003,5111,1252429
2003,5112,583064
2003,5113,445525
2003,5208,145412304
2003,5209,173542325
2003,5210,6932156
2003,5211,13777155
2003,5309,1017029
2003,5310,17
2003,5311,110871
2003,5407,155569015
2003,5408,6661548
2004,5007,3541799
2004,5111,3935630
2004,5112,2681387
2004,5113,175751
2004,5208,257590482
2004,5209,227824824
2004,5210,22931244
2004,5211,41447614
2004,5309,264243
2004,5310,11797
2004,5311,1014832
2004,5407,107388050
2004,5408,4481482
2005,5007,3838126
2005,5111,6981571
2005,5112,2612718
2005,5113,18819
2005,5208,260849387
2005,5209,175974149
2005,5210,26189177
2005,5211,42160674
2005,5309,363681
2005,5310,63130
2005,5311,177125
2005,5407,121794801
2005,5408,6860780
2006,5007,527072
2006,5111,5023061
2006,5112,2366016
2006,5208,86851045
2006,5209,101241601
2006,5210,16770967
2006,5211,5559509
2006,5309,767974
2006,5310,95062
2006,5311,10
2006,5407,98752070
2006,5408,3067788
2007,5007,1275748
2007,5111,7108257
2007,5112,3188309
2007,5113,406
2007,5208,151805951
2007,5209,131606894
2007,5210,23201143
2007,5211,11699381
2007,5309,177744
2007,5310,28453
2007,5311,19060
2007,5407,107120414
2007,5408,2358150
1989,5007,230336
1989,5111,180745
1989,5112,71522
1989,5208,31225882
1989,5209,32464819
1989,5210,1499069
1989,5211,9132879
1989,5310,1954
1989,5311,1207046
1989,5407,17796293
1989,5408,519847
1990,5007,103340
1990,5111,103023
1990,5112,313524
1990,5113,9122
1990,5208,69519530
1990,5209,8511313
1990,5210,1122780
1990,5211,10159261
1990,5311,2361119
1990,5407,40632767
1990,5408,783809
1991,5007,767373
1991,5111,58111
1991,5112,245140
1991,5208,75702113
1991,5209,6964126
1991,5210,1603482
1991,5211,20353110
1991,5310,40759
1991,5311,2912193
1991,5407,55476664
1991,5408,3727839
1992,5007,143452
1992,5111,429470
1992,5112,59462
1992,5208,86328272
1992,5209,12948368
1992,5210,1424349
1992,5211,29871958
1992,5311,4327806
1992,5407,62639924
1992,5408,8960062
1993,5007,11764
1993,5111,198957
1993,5112,221619
1993,5208,77388922
1993,5209,41231993
1993,5210,1078373
1993,5211,44398417
1993,5309,3361
1993,5311,3047462
1993,5407,68067126
1993,5408,6749697
1995,5007,27824
1995,5111,698563
1995,5112,166399
1995,5208,132349756
1995,5209,153700519
1995,5210,4704933
1995,5211,97974907
1995,5309,50198
1995,5310,1594
1995,5311,3645279
1995,5407,103297715
1995,5408,20092530
1996,5007,52102
1996,5111,724412
1996,5112,554236
1996,5113,28437
1996,5208,131281611
1996,5209,127063522
1996,5210,5376266
1996,5211,23353969
1996,5309,49428
1996,5310,92808
1996,5311,3732851
1996,5407,114254774
1996,5408,17365486
1997,5007,62929
1997,5111,407414
1997,5112,1041108
1997,5113,28910
1997,5208,96619705
1997,5209,32593727
1997,5210,5960267
1997,5211,5807819
1997,5309,134953
1997,5310,20427
1997,5311,261669
1997,5407,46923079
1997,5408,485660
1998,5007,764
1998,5111,540762
1998,5112,29926
1998,5113,10343
1998,5208,139514463
1998,5209,164345860
1998,5210,4894336
1998,5211,33082861
1998,5309,11113
1998,5310,361
1998,5311,1984772
1998,5407,185025078
1998,5408,15706089
2000,5007,3402037
2000,5111,918406
2000,5112,1008407
2000,5113,730301
2000,5208,139563410
2000,5209,120199916
2000,5210,9108202
2000,5211,6500313
2000,5309,29550
2000,5310,165582
2000,5311,731694
2000,5407,178457481
2000,5408,6519366
2001,5007,542604
2001,5111,961681
2001,5112,4561976
2001,5113,227844
2001,5208,116088957
2001,5209,154378915
2001,5210,9907987
2001,5211,6717171
2001,5309,5010
2001,5310,50500
